country,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Total_Index,Threatened_Species
Australia,47.04,27.6,31.12,-7.23,-5.6,-17.35,-16.13333333,31.3,90.74666667,1.190423113
Austria,30.04,36.6,30.48,-6.41,-10.9,-12.7,-14.8,25.7,78.01,4.872093023
Belgium,34.52,26.65,30.2,-6.28,-6.6,-18.2,-33.2,28.66666667,55.75666667,19.58934517
Canada,40.68,28.2,28.32,-6.88,-8.9,-16.8,-19.26666667,18.43333333,63.78666667,9.84208758
Chile,14.32,21.75,25.68,-3.72,-15.1,-17.9,-52.2,30.06666667,2.896666667,3.367283309
Colombia,11.32,20.65,27,-2.52,-16.9,-23.95,-42.06666667,29.43333333,2.966666667,1.931926321
Costa Rica,15.44,23.05,25.2,-4.36,-10,-30.1,-29.46666667,33.16666667,22.93,7.106684673
Czech Republic,27.96,37.1,30.2,-4.43,-14.9,-14.7,-23.53333333,26.1,63.79666667,13.99058507
Denmark,39.92,36.85,31.92,-7.31,-6.3,-14.2,-13.93333333,27.26666667,94.21333333,12.41639698
Estonia,24.16,37.95,29.56,-4.95,-10.1,-12,-12.26666667,21.43333333,73.78666667,5.725651772
Finland,36.4,36.6,30.72,-6.37,-7.5,-13.8,-8,18.86666667,86.91666667,11.73246678
France,31.84,22.8,32,-6.56,-11.8,-17.35,-28.13333333,30,52.79666667,11.9649526
Germany,41.08,31.5,28.96,-5.96,-10.6,-15.55,-18.73333333,27.63333333,78.33,35.92974019
Greece,15.36,26,22.88,-5.02,-12.1,-16.85,-34.53333333,31.26666667,27.00333333,6.224437628
Hungary,21.28,33.05,21.72,-3.46,-13.2,-17.8,-31.86666667,26.5,36.22333333,18.29008932
Iceland,33.04,37.85,26.64,-8.66,-6.8,-10,-10.53333333,22.93333333,84.47,16.12903226
Ireland,30.08,27.05,20.8,-6.67,-7,-18.95,-23.33333333,29.7,51.67666667,12.98394712
Italy,23.2,26.9,26.68,-5.85,-11.1,-16.8,-36.26666667,30.56666667,37.33,2.322953982
Japan,36.44,38.9,32.2,-6.28,-10.5,-20.35,-26.06666667,28.26666667,72.61,10.82403061
Latvia,19.92,30.75,25.28,-4.52,-7.7,-15.1,-21.33333333,24.9,52.19666667,2.055552881
Lithuania,22.28,33.7,29.36,-4.31,-12.2,-12.65,-16.53333333,23.3,62.94666667,1.402256588
Luxembourg,38.44,32.2,28.6,-7.21,-14,-15.85,-16.06666667,27.53333333,73.64666667,25.33645407
Mexico,16.44,23.05,29.12,-3.51,-8.2,-19.6,-38.86666667,28.5,26.93333333,4.790619765
Netherlands,39.84,36.2,30.36,-6.77,-7.4,-13.3,-16.46666667,28.96666667,91.43,25.56497175
New Zealand,34,27.7,29.2,-6.9,-8,-15.35,-15.93333333,32.13333333,76.85,1.822240994
Norway,34.52,33.25,30.84,-8.59,-7.8,-13.45,-12,22.9,79.67,11.42483265
Poland,24.28,33.95,21.84,-3.51,-13.5,-16.15,-40.06666667,25.33333333,32.17666667,5.678256977
Portugal,19.16,34.25,28.84,-4.22,-13,-14.8,-20.66666667,32.6,62.16333333,4.100652377
Slovakia,21.52,34.75,24.04,-4.1,-12,-14.05,-25.73333333,26.03333333,50.46,9.395175537
Slovenia,23.16,38.4,26.04,-4.73,-11.7,-13.15,-15.2,25.86666667,68.68666667,13.4751773
Spain,30.92,32.5,31.24,-4.75,-7.5,-14.6,-26.06666667,31.2,72.94333333,2.77395025
Sweden,37.96,25.6,27.52,-6.18,-9.5,-14.7,-12,24.96666667,73.66666667,3.625915493
Switzerland,46.48,38.95,30.12,-11.03,-8.9,-14.2,-12.93333333,26.53333333,95.02,32.01468672000
Turkey,11.2,30.05,28.28,-2.84,-11.9,-22,-43.4,30.13333333,19.52333333,1.619588789
United Kingdom,37.16,26.7,29.8,-6.04,-8,-17.2,-26.93333333,29.33333333,64.82,2.895293784
