country,Percentage threatened,Quality of Life Index,Rank 2022,Kaufkraftindex,Sicherheitsindex,Gesundheitsindex,Lebenshaltungskostenindex,Immobilienpreis / Einkommen,Pendler:innenzeitindex,Umweltverschmutzungsindex,Klimawandelindex,Total_Index,Threatened_species_total,Percentage of threatened mammals,Percentage of  threatened birds,Percentage of  threatened reptiles,Percentage of  threatened Amphibians,Percentage of  threatened Fish,  Percentage of  threatened Marine Fish, Percentage of  threatened  Freshwater Fish,Percentage of  threatened Vascular plants,Percentage of  threatened Mosses,Percentage of  threatened Lichens,Percentage of  threatened Invertebrates
Australien,1.190423113,190.7,4,47.04,27.6,31.12,-7.23,-5.6,-17.35,-16.13333333,31.3,90.74666667,1.190423113,28.38196286,16.91729323,5.529953917,16.31799163,0.992137776,0.296559905,12.06349206,5.882609264,0.04950495,#WERT!,0.061771359
Litauen,1.402256588,163,23,22.28,33.7,29.36,-4.31,-12.2,-12.65,-16.53333333,23.3,62.94666667,1.402256588,10.29411765,14.39588689,28.57142857,30.76923077,4.761904762,1.960784314,7.407407407,9.745127436,10.21276596,17.2,0.356
Türkei,1.619588789,119.5,54,11.2,30.05,28.28,-2.84,-11.9,-22,-43.4,30.13333333,19.52333333,1.619588789,13.14285714,11,15.06849315,20.51282051,10.9375,#WERT!,25.52083333,1.622601104,#WERT!,#WERT!,0.431285133
Neuseeland,1.822240994,176.8,10,34,27.7,29.2,-6.9,-8,-15.35,-15.93333333,32.13333333,76.85,1.822240994,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,#WERT!,1.468428781,0.789733465,4.628501827
Kolumbien,1.931926321,102.9,71,11.32,20.65,27,-2.52,-16.9,-23.95,-42.06666667,29.43333333,2.966666667,1.931926321,6.813996317,6.397134084,6.896551724,34.32835821,2.585388994,0.461538462,3.181534623,1.743576298,2.56097561,0,0.430863926
Lettland,2.055552881,152.2,30,19.92,30.75,25.28,-4.52,-7.7,-15.1,-21.33333333,24.9,52.19666667,2.055552881,8.064516129,16.73819742,28.57142857,30.76923077,2.298850575,2.380952381,2.222222222,10.78988126,10.89285714,3.493449782,0.461988304
Italien,2.322953982,137.3,37,23.2,26.9,26.68,-5.85,-11.1,-16.8,-36.26666667,30.56666667,37.33,2.322953982,18.25396825,24.10071942,19.64285714,31.81818182,7.332293292,4.044117647,25.77319588,7.64941205,19.60297767,5.658284024,0.777732296
Spanien,2.77395025,173,15,30.92,32.5,31.24,-4.75,-7.5,-14.6,-26.06666667,31.2,72.94333333,2.77395025,15.11627907,10.625,18.0952381,23.07692308,3.661726242,0.564971751,42.35294118,13.72264698,5.084745763,#WERT!,0.553887686
Grossbritannien,2.895293784,164.8,20,37.16,26.7,29.8,-6.04,-8,-17.2,-26.93333333,29.33333333,64.82,2.895293784,10.28037383,17.11864407,13.33333333,13.33333333,#WERT!,#WERT!,#WERT!,8.614642701,13.41614907,6.608695652,1.412725567
Chile,3.367283309,102.9,72,14.32,21.75,25.68,-3.72,-15.1,-17.9,-52.2,30.06666667,2.896666667,3.367283309,19.45945946,9.019607843,37.14285714,67.69230769,2.987421384,0.084602369,51.38888889,6.980173685,0.975081257,0.14461316,0.973813421
