time,ProduktionLandw,Bevölkerung,FlächeLandw,Fläche Auen,Fläche Moore,Fläche Trockenwiesen -weiden,Feldhasenentwicklung,Anzahl Reisende Privater Strassenverkehr (in Mio Reisende),Landschaftszerschneidung Kt. BL
1900,100,100,100,100,100,100,,,30
1915,125,120,96,,,,,,
1930,150,125,94,,,,,,19
1945,160,130,96,,,,,400,
1960,170,150,92,,,,,1200,17
1975,190,180,87,,,,,3500,13
1990,230,195,88,63,18,6,450,5500,
2005,240,220,84,63,17,4.5,300,6000,8
2014,250,245,83,,,,250,6500,7
2022,260,260,82,,,,240,7500,6
