Country;Percentage threatened;Quality of Life Index;Rank 2022
Australia;1.190423113;190.7;4
Austria;4.872093023;178.1;9
Belgium;19.58934517;155.8;26
Canada;9.84208758;163.8;22
Chile;3.367283309;102.9;72
Colombia;1.931926321;102.9;71
Costa Rica;7.106684673;122.9;49
Czech Republic;13.99058507;163.8;21
Denmark;12.41639698;194.2;2
Estonia;5.725651772;173.8;12
Finland;11.73246678;186.8;5
France;11.9649526;152.7;29
Germany;35.92974019;178.3;8
Greece;6.224437628;127.1;46
Hungary;18.29008932;136.2;39
Iceland;16.12903226;184.5;6
Ireland;12.98394712;151.7;31
Italy;2.322953982;137.3;37
Japan;10.82403061;172.6;16
Latvia;2.055552881;152.2;30
Lithuania;1.402256588;163;23
Luxembourg;25.33645407;173.8;13
Mexico;4.790619765;126.9;47
Netherlands;25.56497175;191.5;3
New Zealand;1.822240994;176.8;10
Norway;11.42483265;179.6;7
Poland;5.678256977;132.2;40
Portugal;4.100652377;162.2;25
Slovak Republic;9.395175537;150.5;32
Slovenia;13.4751773;168.7;18
Spain;2.77395025;173;15
Sweden;3.625915493;173.7;14
Switzerland;32.01468672;195.1;1
Türkiye;1.619588789;119.5;54
United Kingdom;2.895293784;164.8;20
