"Jahr","BS: Bis 1,5 Tonnen","BS: 1,5 bis 2,5 Tonnen","BS: 2,5 bis 5 Tonnen","BS: 5 bis 10 Tonnen","BS: Mehr als 10 Tonnen","BL: Bis 1,5 Tonnen","BL: 1,5 bis 2,5 Tonnen","BL: 2,5 bis 5 Tonnen","BL: 5 bis 10 Tonnen","BL: Mehr als 10 Tonnen","Category"
1990,69,62,61,4,1,737,1309,851,42,8,0
1991,74,60,59,5,1,749,1300,890,49,9,1
1992,78,59,57,4,1,752,1275,919,52,8,2
1993,79,59,53,4,1,769,1282,959,55,8,3
1994,79,57,53,4,1,897,1479,1134,83,8,4
1995,76,54,50,4,1,853,1449,1180,93,10,5
1996,73,52,50,8,2,818,1438,1187,107,11,6
1997,74,52,49,10,1,817,1429,1221,112,11,7
1998,75,48,47,11,1,788,1408,1230,143,13,8
1999,74,46,51,15,2,731,1383,1258,179,14,9
2000,76,47,54,16,2,662,1307,1291,229,14,10
2001,75,48,54,19,2,644,1270,1315,292,25,11
2002,76,42,53,19,2,623,1235,1316,341,24,12
2003,75,41,55,22,2,610,1184,1339,359,32,13
2004,68,40,56,23,2,595,1160,1347,404,36,14
2005,63,38,61,24,3,598,1127,1333,441,38,15
2006,53,33,58,25,3,555,1162,1368,511,43,16
2007,54,36,57,26,3,539,1139,1365,535,56,17
2008,52,38,55,25,3,541,1128,1403,576,62,18
2009,51,35,57,25,3,533,1113,1406,620,72,19
2010,50,35,57,26,4,530,1089,1385,668,80,20
2011,50,36,54,29,4,532,1079,1383,717,93,21
2012,43,35,53,28,4,533,1066,1391,771,103,22
2013,40,35,53,35,4,515,1017,1388,813,110,23
2014,40,35,54,35,6,500,976,1388,872,117,24
2015,38,40,52,36,6,486,941,1371,925,126,25
2016,34,40,50,37,6,484,928,1373,961,142,26
2017,34,39,50,30,5,496,903,1389,985,158,27
2018,32,39,48,32,5,485,908,1379,1023,162,28
2019,29,41,45,33,5,473,876,1365,1042,176,29
2020,27,42,48,33,5,438,788,1439,1111,179,30
2021,28,36,53,34,6,419,750,1468,1161,204,31
